45001.0,-0.91,1.0,-0.09,-0.14,0.08,-0.5,0.48,3.0,0.9,1.0,0
45002.0,-0.46,5.0,-0.28,-1.66,0.9,-0.99,0.02,3.0,2.17,-1.0,1
45003.0,-0.34,1.0,0.05,-0.24,0.59,0.1,1.86,2.0,2.04,-2.0,0
45004.0,-0.52,1.0,1.26,-0.32,0.25,-0.82,1.96,4.0,-0.9,-1.0,0
45005.0,-0.93,5.0,-0.13,-0.12,0.45,0.98,0.74,4.0,2.14,-2.0,0
45006.0,-0.67,5.0,0.54,-1.38,0.99,0.32,1.82,2.0,3.43,-1.0,0
45007.0,-0.84,5.0,-0.27,-0.18,0.67,0.95,1.56,2.0,-1.29,-1.0,0
45008.0,-0.81,3.0,-0.16,-0.54,0.27,-0.15,1.96,2.0,-2.44,0.0,0
45009.0,-0.8,-3.0,0.48,-1.14,0.03,0.21,1.2,1.0,-2.0,-2.0,1
45010.0,-0.32,5.0,0.4,-1.42,0.47,0.54,0.28,2.0,0.74,-2.0,1
45011.0,-0.55,-3.0,0.67,-0.94,0.08,-0.83,0.54,1.0,2.09,-2.0,0
45012.0,-0.44,3.0,-2.55,-0.94,0.17,0.34,1.32,4.0,1.92,-2.0,1
45013.0,-0.16,-3.0,-0.44,-0.68,0.04,0.55,1.0,2.0,0.92,0.0,0
45014.0,-0.6,-1.0,1.43,-0.24,0.4,0.07,0.02,5.0,0.31,0.0,0
45015.0,-0.89,1.0,0.73,-0.6,0.84,0.82,1.7,5.0,1.17,-1.0,0
45016.0,-0.07,-1.0,0.33,-0.08,0.42,-0.95,1.32,1.0,-1.82,0.0,0
45017.0,-0.05,-1.0,0.03,-1.78,0.66,0.4,1.84,1.0,-0.4,-1.0,1
45018.0,-1.0,-1.0,-1.66,-0.8,0.57,-0.56,1.2,1.0,2.17,-2.0,0
45019.0,-0.29,-1.0,0.87,-0.58,0.9,0.63,0.08,5.0,2.22,1.0,0
