45001,-0.91,1,-0.09,-0.14,0.08,-0.5,0.48,3,0.9,1,0,0,1,
45002,-0.46,5,-0.28,-1.66,0.9,-0.99,0.02,3,2.17,-1,1,1,1,
45003,-0.34,1,0.05,-0.24,0.59,0.1,1.86,2,2.04,-2,0,0,1,
45004,-0.52,1,1.26,-0.32,0.25,-0.82,1.96,4,-0.9,-1,0,0,1,
45005,-0.93,5,-0.13,-0.12,0.45,0.98,0.74,4,2.14,-2,0,0,1,
45006,-0.67,5,0.54,-1.38,0.99,0.32,1.82,2,3.43,-1,0,0,1,
45007,-0.84,5,-0.27,-0.18,0.67,0.95,1.56,2,-1.29,-1,0,0,1,
45008,-0.81,3,-0.16,-0.54,0.27,-0.15,1.96,2,-2.44,0,0,0,1,
45009,-0.8,-3,0.48,-1.14,0.03,0.21,1.2,1,-2,-2,1,1,1,
45010,-0.32,5,0.4,-1.42,0.47,0.54,0.28,2,0.74,-2,1,1,1,
45011,-0.55,-3,0.67,-0.94,0.08,-0.83,0.54,1,2.09,-2,0,0,1,
45012,-0.44,3,-2.55,-0.94,0.17,0.34,1.32,4,1.92,-2,1,1,1,
45013,-0.16,-3,-0.44,-0.68,0.04,0.55,1,2,0.92,0,0,0,1,
45014,-0.6,-1,1.43,-0.24,0.4,0.07,0.02,5,0.31,0,0,0,1,
45015,-0.89,1,0.73,-0.6,0.84,0.82,1.7,5,1.17,-1,0,0,1,
45016,-0.07,-1,0.33,-0.08,0.42,-0.95,1.32,1,-1.82,0,0,0,1,
45017,-0.05,-1,0.03,-1.78,0.66,0.4,1.84,1,-0.4,-1,1,0,0,
45018,-1,-1,-1.66,-0.8,0.57,-0.56,1.2,1,2.17,-2,0,1,0,
45019,-0.29,-1,0.87,-0.58,0.9,0.63,0.08,5,2.22,1,0,0,1,
45020,-0.57,1,-1.86,-0.92,0.42,-0.46,0.42,5,-1.43,1,0,0,1,
45021,-0.95,-1,-0.6,-0.72,0.55,-0.33,0.66,2,3.99,-2,1,0,0,
45022,-0.46,5,-2.09,-1.68,0.62,-0.63,1.82,5,2.53,-2,0,0,1,
45023,-0.84,-3,1.39,-0.86,0.23,-0.15,1.56,5,-0.13,0,0,0,1,
45024,-0.7,5,-0.36,-1.1,0.18,0.41,0.92,1,-1.81,0,1,1,1,
45025,-0.66,1,-0.22,-1.14,0.71,0.18,1.6,5,3.75,1,1,0,0,
45026,-0.07,-1,-0.73,-1.12,0.84,-0.94,1.44,3,2.4,1,1,1,1,
45027,-0.81,1,-0.57,-1.54,0.42,0.71,1.86,5,0.48,-1,0,0,1,
45028,-0.11,-1,-0.39,-1.12,0.7,0.27,1.16,5,0.31,-1,1,1,1,
45029,-0.01,5,-0.17,-1,0.82,-0.7,0.04,4,3.1,0,0,0,1,
45030,-0.93,3,-0.74,-1.52,0.38,-0.05,1.9,2,2.6,0,0,0,1,
45031,-0.03,5,-0.03,-1.5,0.48,0.27,0.14,5,-1.7,1,1,1,1,
45032,-0.33,-3,-0.6,-0.06,0.81,0.56,1.68,5,4.28,0,0,0,1,
45033,-0.12,5,0.53,-1.62,0,-0.45,0.62,3,0.91,0,1,1,1,
45034,-0.03,5,-0.87,-0.94,0.24,-0.27,1.52,4,2.76,-1,0,0,1,
45035,-0.68,3,-1.25,-0.72,0.63,0.94,1.78,5,1.96,0,0,0,1,
45036,-0.26,5,-0.66,-1.42,0.58,-0.83,1.96,2,3.78,-2,0,0,1,
45037,-0.51,3,1.88,-1.38,0.67,-0.54,0.9,3,2.65,1,1,1,1,
45038,-0.88,5,-0.07,-1.6,0.09,-0.43,1.18,2,-1.36,0,1,1,1,
45039,-0.76,3,0.18,-1,0.65,-0.89,0.54,5,3.36,1,1,1,1,
45040,-0.74,-1,-0.59,-1.02,0.33,0.27,0.06,2,2.5,1,0,0,1,
45041,-0.9,1,-0.34,-1.98,0.57,-0.53,1.92,5,3.33,-2,1,1,1,
45042,-0.21,-3,0.07,-1.58,0.74,-0.09,0.86,1,-2.1,1,1,1,1,
45043,-0.51,1,-0.52,-0.66,0.59,-0.52,0.08,1,1.34,0,0,0,1,
45044,-0.1,3,1.44,-0.76,0.43,-0.36,0.46,3,1.77,1,1,0,0,
45045,-0.99,-1,-0.74,-1.96,0.89,0.93,0.1,4,-1.03,1,1,1,1,
45046,-0.36,5,1.25,0,0.75,-0.15,0.06,1,1.56,-2,0,0,1,
45047,-0.58,3,0.14,-1.74,0.74,-0.89,1.14,5,2.26,-2,1,1,1,
45048,-0.6,-1,0.6,-1,0.77,-0.08,1.36,5,-0.15,-2,1,1,1,
45049,-0.56,1,-1.52,-1.16,0.54,-0.25,0.34,5,3.27,1,1,1,1,
45050,-0.34,-3,0.61,-1.6,0.56,-0.3,1.68,2,3.7,-2,0,0,1,
45051,-0.08,1,-1.64,-0.46,0.46,-0.83,1.06,5,2.54,0,0,0,1,
45052,-0.5,3,-0.1,-1.92,0.08,-0.83,0.88,1,-3.01,1,1,1,1,
45053,-0.62,-1,-1.11,-0.42,0.87,-0.15,1.26,2,1.01,-1,0,0,1,
45054,-0.85,-1,-0.1,-0.22,0.28,0.08,1.34,2,5.36,1,0,0,1,
45055,-0.26,3,1.37,-0.18,0.99,-0.79,0.86,1,-3.85,0,0,0,1,
45056,-0.88,-1,-1.69,-0.44,0.38,-0.54,0.48,1,1.53,-2,0,0,1,
45057,-0.93,5,2.08,-1.1,0.31,-0.47,1.16,1,1.14,0,1,1,1,
45058,-0.94,-1,0.12,-1.74,0.68,-0.95,0.84,4,-0.51,0,1,1,1,
45059,-0.29,-3,0.04,-1.02,0.04,0,0.18,1,-0.89,0,1,1,1,
45060,-0.61,3,-0.65,-0.2,0.31,-0.76,1.96,1,1.08,0,0,0,1,
45061,-0.74,5,0.13,-0.54,0.21,0.66,0.62,2,3.69,0,0,0,1,
45062,-0.82,5,0.22,-1.74,0.22,-0.3,1.06,2,2.06,0,1,1,1,
45063,-0.24,5,-0.63,-0.16,0.47,-0.2,1.1,3,3.13,-2,0,0,1,
45064,-0.05,5,-1.26,-1.78,0.14,0.36,0.7,4,-0.29,1,1,1,1,
45065,-0.3,5,1.77,-1.38,0.11,0.95,1.7,1,3.16,0,0,0,1,
45066,-0.77,1,1.5,-0.6,0.38,0.13,0.64,1,-0.96,1,0,0,1,
45067,-0.67,3,0.91,-1.36,0,0.06,0.56,3,1.19,-2,1,1,1,
45068,-0.19,1,-1.19,-1.42,0.79,-0.56,0.04,2,0.31,-2,1,1,1,
45069,-0.7,5,1.76,-0.02,0.8,-0.99,1.52,5,3.45,-1,0,0,1,
45070,-0.17,1,-0.34,-0.06,0.46,0.45,1.48,2,0.27,-1,0,0,1,
45071,-0.51,-3,1.92,-1.38,0.16,-0.18,0.02,3,-0.38,-1,1,1,1,
45072,-0.71,-3,-0.51,-1.84,0.43,0.13,0.54,1,0.92,-1,1,1,1,
45073,-0.2,5,1.24,-1.86,0.38,0.59,0.78,2,1.33,1,1,1,1,
45074,-0.25,1,0.42,-0.18,0.84,0.07,0.8,3,0.98,-2,0,0,1,
45075,-0.09,-1,0.95,-1.94,0.05,-0.09,2,5,1.38,1,1,1,1,
45076,-0.71,1,-0.37,-0.44,0.56,0.88,1.34,1,5.29,-2,0,0,1,
45077,-0.78,5,0.11,-0.46,0.68,-0.49,1.38,4,2.07,1,0,0,1,
45078,-0.64,1,0.43,-1.02,0.12,0.83,1.8,3,-0.51,-1,0,0,1,
45079,-0.98,5,0.46,-0.82,0.65,0.23,0.54,4,-0.32,-1,0,0,1,
45080,-0.84,1,-0.32,-0.92,0.73,-0.44,1.78,2,3.24,-2,0,0,1,
45081,-0.22,-1,2.21,-0.18,0.86,0.13,0.86,5,5.19,0,0,0,1,
45082,-0.13,-3,-2.67,-1.82,0.6,0.64,0.7,2,2.46,-2,1,1,1,
45083,-0.22,3,0.46,-1.22,0.32,-0.31,0.34,2,2.54,-1,1,1,1,
45084,-0.48,5,-0.71,-0.54,0.22,0.17,0.04,1,-0.61,1,0,0,1,
45085,-0.08,-3,1.59,-0.76,0.27,-0.76,1.64,3,0.87,0,0,0,1,
45086,0,3,-0.07,-1.5,0.18,-0.05,0.34,4,3.33,-2,1,1,1,
45087,-0.11,3,-0.85,-1.2,0.3,0.52,0.52,5,3.03,1,1,1,1,
45088,-0.68,3,-0.45,-0.52,0.65,-0.33,0.4,5,4.38,1,0,0,1,
45089,-0.75,1,1.39,-1.12,0.8,-0.94,1.14,1,-0.13,-1,1,1,1,
45090,-0.27,5,-0.55,-1.36,0.12,-0.23,1.4,1,-0.78,1,0,1,0,
45091,-0.94,-3,1.43,-1,0.84,0.44,1.98,2,0.25,0,0,0,1,
45092,-0.19,5,-0.97,-0.82,0.92,-0.39,0.52,2,1.69,0,1,0,0,
45093,-0.14,1,-0.67,-0.5,0.47,0.28,1.78,3,-0.6,-2,0,0,1,
45094,-0.5,1,0.31,-1.6,0.06,-0.57,0.92,4,1.93,0,1,1,1,
45095,-0.93,3,-0.23,-0.46,0.02,0.88,0.32,4,0.57,1,0,0,1,
45096,-0.83,-1,-1.66,-1.98,0.9,-0.61,1.84,4,0.79,1,1,1,1,
45097,-0.38,-3,-0.55,-0.82,0.55,-0.58,1.94,3,0.72,1,0,0,1,
45098,-0.59,-3,-0.48,-0.08,0.1,0.04,0.78,1,-1.13,1,0,0,1,
